"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_critical_login","tests.pytest","2026-08-31","passed","2026-08-31","","test_markers","",""
"","0","test_password_reset","tests.pytest","2026-08-31","passed","2026-08-31","TestUserAutentication","test_markers","",""
"","2143","User login with wrong email or password","LMS system","2026-08-31","passed","2026-08-31","Авторизация","Аутентификация","",""
"","0","test_logout","tests.pytest","2026-08-31","passed","2026-08-31","TestUserAutentication","test_markers","",""
"","1846","User login with wrong email or password","LMS system","2026-08-31","passed","2026-08-31","Авторизация","Аутентификация","",""
"","1","test_regression_case","tests.pytest","2026-08-31","passed","2026-08-31","","test_markers","",""
"","3390","User login with correct email and password","LMS system","2026-08-31","passed","2026-08-31","Авторизация","Аутентификация","",""
"","2347","Create course","LMS system","2026-08-31","passed","2026-08-31","Курсы","Курсы","",""
"","1603","Registration with correct email, username and password","LMS system","2026-08-31","passed","2026-08-31","Регистрация","Аутентификация","",""
"","1598","Navigation from login page to registration page","LMS system","2026-08-31","passed","2026-08-31","Авторизация","Аутентификация","",""
"","1818","User login with wrong email or password","LMS system","2026-08-31","passed","2026-08-31","Авторизация","Аутентификация","",""
"","1400","Check displaying of empty courses list","LMS system","2026-08-31","passed","2026-08-31","Курсы","Курсы","",""
"","0","test_forgot_password_link","tests.pytest","2026-08-31","passed","2026-08-31","TestUserInterface","test_markers","",""
"","2908","Check edit course","LMS system","2026-08-31","passed","2026-08-31","Курсы","Курсы","",""
"","0","test_login","tests.pytest","2026-08-31","passed","2026-08-31","TestUserAutentication","test_markers","",""
"","1351","Check displaying of dashboard page","LMS system","2026-08-31","passed","2026-08-31","Дашборд","Дашборд","",""
