"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_regression_case","tests.pytest","2026-09-02","passed","2026-09-02","","test_markers","",""
"","4193","User login with correct email and password","LMS system","2026-09-02","passed","2026-09-02","Авторизация","Аутентификация","",""
"","1637","Check displaying of empty courses list","LMS system","2026-09-02","passed","2026-09-02","Курсы","Курсы","",""
"","0","test_password_reset","tests.pytest","2026-09-02","passed","2026-09-02","TestUserAutentication","test_markers","",""
"","3476","Create course","LMS system","2026-09-02","passed","2026-09-02","Курсы","Курсы","",""
"","0","test_logout","tests.pytest","2026-09-02","passed","2026-09-02","TestUserAutentication","test_markers","",""
"","2464","User login with wrong email or password","LMS system","2026-09-02","passed","2026-09-02","Авторизация","Аутентификация","",""
"","1697","Check displaying of dashboard page","LMS system","2026-09-02","passed","2026-09-02","Дашборд","Дашборд","",""
"","0","test_critical_login","tests.pytest","2026-09-02","passed","2026-09-02","","test_markers","",""
"","3553","Check edit course","LMS system","2026-09-02","passed","2026-09-02","Курсы","Курсы","",""
"","2111","User login with wrong email or password","LMS system","2026-09-02","passed","2026-09-02","Авторизация","Аутентификация","",""
"","2084","Registration with correct email, username and password","LMS system","2026-09-02","passed","2026-09-02","Регистрация","Аутентификация","",""
"","1456","Navigation from login page to registration page","LMS system","2026-09-02","passed","2026-09-02","Авторизация","Аутентификация","",""
"","0","test_login","tests.pytest","2026-09-02","passed","2026-09-02","TestUserAutentication","test_markers","",""
"","1901","User login with wrong email or password","LMS system","2026-09-02","passed","2026-09-02","Авторизация","Аутентификация","",""
"","0","test_forgot_password_link","tests.pytest","2026-09-02","passed","2026-09-02","TestUserInterface","test_markers","",""
